Frame,Satellite,Station,Elevation_deg,Rate_Mbps,Distance_km,Selected
469,SAT_167,"Kapolei, USA",48.59,1467.4,479.3,YES
470,SAT_124,"Tahiti, French Polynesia",80.07,1826.7,98.9,YES
471,SAT_124,"Tahiti, French Polynesia",61.78,1617.9,299.9,YES
472,SAT_124,"Tahiti, French Polynesia",37.42,1340.0,691.6,YES
473,SAT_125,"Tahiti, French Polynesia",23.74,1183.9,1082.4,YES
474,SAT_126,"Tahiti, French Polynesia",15.19,1086.3,1471.9,YES
475,SAT_127,"Tahiti, French Polynesia",9.19,1017.8,1858.4,YES
479,SAT_002,"Tahiti, French Polynesia",8.16,1006.0,2029.3,YES
480,SAT_016,"Tahiti, French Polynesia",13.09,1062.4,1604.6,YES
481,SAT_018,"Tahiti, French Polynesia",21.51,1158.4,1179.2,YES
482,SAT_018,"Tahiti, French Polynesia",35.13,1313.8,751.8,YES
483,SAT_019,"Tahiti, French Polynesia",60.36,1601.8,321.4,YES
484,SAT_019,"Tahiti, French Polynesia",78.52,1809.0,116.3,YES
485,SAT_071,"Kapolei, USA",52.02,1506.6,433.7,YES
486,SAT_071,"Kapolei, USA",89.84,1938.2,1.6,YES
487,SAT_108,"Mojave, USA",75.45,1774.0,148.6,YES
488,SAT_108,"Mojave, USA",65.92,1665.2,254.9,YES
489,SAT_103,"Portland, USA",63.91,1642.3,279.6,YES
490,SAT_103,"Portland, USA",77.08,1792.5,132.3,YES
491,SAT_103,"Portland, USA",46.11,1439.1,535.7,YES
492,SAT_124,"Pendergrass, USA",47.4,1453.8,508.7,YES
493,SAT_124,"Pendergrass, USA",77.96,1802.6,122.0,YES
494,SAT_121,"Columbus, USA",83.15,1861.8,69.0,YES
495,SAT_094,"North Pole, USA",76.62,1787.3,138.1,YES
496,SAT_094,"Deadhorse, USA",82.67,1856.4,74.9,YES
497,SAT_093,"Utqiagvik, USA",76.47,1785.5,140.0,YES
498,SAT_028,"Dubbo, Australia",78.02,1803.3,122.7,YES
499,SAT_054,"Harmon, Guam",80.64,1833.2,93.8,YES
500,SAT_071,"Chitose, Japan",80.14,1827.5,99.8,YES
501,SAT_033,"Alice Springs, Australia",67.93,1688.1,231.8,YES
502,SAT_034,"Alice Springs, Australia",66.89,1676.3,243.5,YES
503,SAT_067,"Seoul, South Korea",78.96,1814.0,111.6,YES
504,SAT_067,"Seoul, South Korea",47.48,1454.8,507.1,YES
505,SAT_030,"Mingenew, Australia",65.55,1660.9,260.0,YES
506,SAT_030,"Mingenew, Australia",72.93,1745.2,176.2,YES
507,SAT_100,"Sodankylä, Finland",75.97,1779.9,144.7,YES
508,SAT_111,"Dundee, Scotland",80.19,1828.1,99.6,YES
509,SAT_104,"Stockholm, Sweden",87.42,1910.6,26.0,YES
510,SAT_109,"Dublin, Ireland",76.72,1788.5,135.6,YES
511,SAT_109,"Dublin, Ireland",45.96,1437.5,534.9,YES
512,SAT_109,"Dublin, Ireland",28.45,1237.6,936.0,YES
513,SAT_181,"Cape Town, South Africa",29.06,1244.5,926.3,YES
514,SAT_181,"Cape Town, South Africa",46.53,1444.0,528.3,YES
515,SAT_181,"Cape Town, South Africa",77.14,1793.2,131.4,YES
516,SAT_142,"Accra, Ghana",66.61,1673.1,241.9,YES
517,SAT_079,"Dubai, UAE",57.63,1570.6,353.7,YES
518,SAT_083,"Zallaq, Bahrain",83.31,1863.7,66.5,YES
519,SAT_185,"Pretoria, South Africa",63.97,1642.9,276.4,YES
520,SAT_184,"Pretoria, South Africa",38.28,1349.8,677.9,YES
521,SAT_184,"Pretoria, South Africa",23.91,1185.8,1081.0,YES
522,SAT_156,"Mwulire, Rwanda",30.07,1256.1,870.2,YES
523,SAT_156,"Mwulire, Rwanda",48.27,1463.8,484.2,YES
524,SAT_155,"Mwulire, Rwanda",80.02,1826.1,98.5,YES
525,SAT_153,"Mwulire, Rwanda",62.63,1627.7,286.2,YES
526,SAT_082,"Mwulire, Rwanda",40.54,1375.5,623.2,YES
527,SAT_066,"Mwulire, Rwanda",63.25,1634.8,279.1,YES
528,SAT_057,"Mwulire, Rwanda",76.01,1780.3,138.7,YES
529,SAT_056,"Mwulire, Rwanda",42.82,1401.6,574.5,YES
530,SAT_055,"Mwulire, Rwanda",25.28,1201.4,1013.5,YES
531,SAT_089,"Pretoria, South Africa",32.81,1287.3,799.8,YES
532,SAT_089,"Pretoria, South Africa",55.69,1548.4,378.1,YES
533,SAT_089,"Pretoria, South Africa",85.43,1887.8,45.2,YES
534,SAT_181,"Zallaq, Bahrain",85.46,1888.2,44.3,YES
535,SAT_176,"Dubai, UAE",70.71,1719.9,194.2,YES
536,SAT_085,"Cape Town, South Africa",75.48,1774.3,146.4,YES
537,SAT_085,"Cape Town, South Africa",43.91,1414.1,564.6,YES
538,SAT_085,"Cape Town, South Africa",26.6,1216.5,987.0,YES
539,SAT_006,"Dublin, Ireland",29.17,1245.8,895.8,YES
540,SAT_006,"Dublin, Ireland",48.96,1471.7,474.0,YES
541,SAT_006,"Dublin, Ireland",84.46,1876.8,54.5,YES
542,SAT_001,"Stockholm, Sweden",83.44,1865.1,55.7,YES
543,SAT_008,"Dundee, Scotland",78.79,1812.1,111.3,YES
544,SAT_198,"Sodankylä, Finland",84.03,1871.8,59.1,YES
545,SAT_147,Singapore,68.99,1700.2,210.9,YES
546,SAT_147,Singapore,69.41,1705.0,206.3,YES
547,SAT_147,Singapore,42.12,1393.6,582.4,YES
548,SAT_130,"Mingenew, Australia",55.92,1551.1,372.1,YES
549,SAT_131,"Mingenew, Australia",79.64,1821.7,102.3,YES
550,SAT_131,"Mingenew, Australia",52.15,1508.1,424.7,YES
551,SAT_077,"Ushuaia, Argentina",80.77,1834.7,92.8,YES
552,SAT_076,"Punta Arenas, Chile",80.82,1835.3,92.2,YES
553,SAT_133,"Alice Springs, Australia",62.07,1621.2,293.2,YES
554,SAT_133,"Alice Springs, Australia",79.72,1822.7,101.3,YES
555,SAT_195,"Utqiagvik, USA",81.11,1838.6,88.6,YES
556,SAT_197,"Deadhorse, USA",62.52,1626.4,291.5,YES
557,SAT_155,"Harmon, Guam",86.11,1895.7,37.7,YES
558,SAT_114,"Awarua, New Zeland",65.08,1655.6,263.5,YES
559,SAT_114,"Awarua, New Zeland",75.91,1779.2,143.1,YES
560,SAT_011,"Portland, USA",82.7,1856.7,72.1,YES
561,SAT_018,"Mojave, USA",66.17,1668.0,246.1,YES
562,SAT_019,"Mojave, USA",70.15,1713.5,201.6,YES
563,SAT_019,"Mojave, USA",40.64,1376.8,620.1,YES
564,SAT_019,"Mojave, USA",24.48,1192.3,1049.4,YES
565,SAT_190,"Paumalu, USA",17.68,1114.7,1341.3,YES
566,SAT_190,"Paumalu, USA",28.12,1233.9,933.0,YES
567,SAT_191,"Paumalu, USA",46.08,1438.8,524.2,YES
568,SAT_191,"Paumalu, USA",78.56,1809.5,114.2,YES
569,SAT_088,"Tahiti, French Polynesia",74.74,1765.9,154.8,YES
570,SAT_088,"Tahiti, French Polynesia",64.59,1650.1,267.8,YES
571,SAT_087,"Tahiti, French Polynesia",37.79,1344.2,687.2,YES
572,SAT_085,"Tahiti, French Polynesia",23.24,1178.2,1106.3,YES
573,SAT_081,"Tahiti, French Polynesia",14.42,1077.5,1520.8,YES
574,SAT_068,"Tahiti, French Polynesia",8.63,1011.5,1901.6,YES
575,SAT_001,"Tahiti, French Polynesia",13.48,1066.8,1643.2,YES
576,SAT_001,"Tahiti, French Polynesia",19.26,1132.7,1341.6,YES
577,SAT_187,"Tahiti, French Polynesia",28.43,1237.4,933.5,YES
578,SAT_186,"Tahiti, French Polynesia",46.04,1438.3,531.7,YES
579,SAT_185,"Tahiti, French Polynesia",77.13,1793.1,130.9,YES
580,SAT_095,"Kapolei, USA",88.68,1924.9,13.2,YES
581,SAT_096,"Paumalu, USA",55.31,1544.1,388.5,YES
582,SAT_096,"Paumalu, USA",33.23,1292.2,800.8,YES
583,SAT_096,"Paumalu, USA",20.82,1150.6,1214.3,YES
584,SAT_097,"Paumalu, USA",12.9,1060.2,1627.3,YES
585,SAT_120,"Mojave, USA",18.72,1126.6,1304.6,YES
586,SAT_120,"Mojave, USA",29.18,1245.9,912.1,YES
587,SAT_120,"Mojave, USA",46.68,1445.6,521.1,YES
588,SAT_120,"Mojave, USA",75.88,1778.9,144.0,YES
589,SAT_012,"Awarua, New Zeland",82.36,1852.8,78.6,YES
590,SAT_025,"Dubbo, Australia",83.11,1861.4,70.0,YES
591,SAT_100,"North Pole, USA",57.75,1572.0,360.5,YES
592,SAT_100,"North Pole, USA",84.53,1877.6,55.7,YES
593,SAT_032,"Alice Springs, Australia",79.8,1823.6,103.6,YES
594,SAT_097,"Utqiagvik, USA",68.9,1699.2,223.6,YES
595,SAT_068,"Seoul, South Korea",84.94,1882.3,50.8,YES
596,SAT_127,"Pendergrass, USA",82.14,1850.3,79.0,YES
597,SAT_030,"Mingenew, Australia",78.34,1807.0,119.0,YES
598,SAT_176,"Punta Arenas, Chile",62.42,1625.2,303.3,YES
599,SAT_176,"Punta Arenas, Chile",81.23,1840.0,90.5,YES
600,SAT_047,Singapore,81.92,1847.8,80.7,YES
601,SAT_164,"Cordoba, Argentina",71.26,1726.2,195.0,YES
602,SAT_164,"Cordoba, Argentina",43.58,1410.3,579.8,YES
603,SAT_094,"Sodankylä, Finland",39.39,1362.5,666.9,YES
604,SAT_094,"Sodankylä, Finland",65.7,1662.7,259.9,YES
605,SAT_095,"Öjebyn, Sweden",78.28,1806.2,120.1,YES
606,SAT_095,"Öjebyn, Sweden",60.37,1601.9,324.7,YES
607,SAT_096,"Stockholm, Sweden",84.73,1879.9,53.3,YES
608,SAT_100,"Dublin, Ireland",74.82,1766.8,156.0,YES
609,SAT_104,"Guildford Pole, UK",72.8,1743.8,177.2,YES
610,SAT_066,"Dubai, UAE",64.56,1649.7,267.3,YES
611,SAT_066,"Dubai, UAE",72.4,1739.1,179.1,YES
612,SAT_069,"Zallaq, Bahrain",65.8,1663.8,252.6,YES
613,SAT_200,"Cape Town, South Africa",61.69,1616.9,307.6,YES
614,SAT_200,"Cape Town, South Africa",79.25,1817.3,109.3,YES
615,SAT_011,"Pretoria, South Africa",83.47,1865.5,65.5,YES
